nr,Artikelid,Varnummer,Namn,Namn2,Prisinklmoms,Pant,Volymiml,PrisPerLiter,Saljstart,Utgått,Varugrupp,Typ,Stil,Forpackning,Forslutning,Ursprung,Ursprunglandnamn,Producent,Leverantor,Argang,Provadargang,Alkoholhalt,Sortiment,SortimentText,Ekologisk,Etiskt,EtisktEtikett,Koscher,RavarorBeskrivning
7204101,1119944,72041,Barbaresco Giacone,Cascina Alberta,239.00,,750.00,318.67,2016/08/02,0,Rött vin,,,Flaska,,Piemonte,Italien,Cascina Alberta,Castore Sweden AB,2013,,14.00%,BS,Övrigt sortiment,0,0,,0,
7109801,1119975,71098,Rubellus,Rosé,147.00,,750.00,196.00,2016/08/02,0,Rosévin,,,Flaska,,,Italien,l''Autin,Castore Sweden AB,,,11.50%,BS,Övrigt sortiment,0,0,,0,
5301,112,53,Koskenkorva Vodka,,209.00,,700.00,298.57,1992/07/01,0,Okryddad sprit,,,Flaska,,,Finland,Altia,Altia Sweden AB,,,37.50%,FS,Ordinarie sortiment,0,0,,0,Korn.
7691301,1120081,76913,Prosecco Doppionodo BIO,Ardenghi,160.00,,750.00,213.33,2016/08/02,0,Mousserande vin,Vitt Torrt,,Flaska,,Venetien,Italien,Ardenghi,Castore Sweden AB,,,11.00%,BS,Övrigt sortiment,1,0,,0,
7649301,1120381,76493,Cantina Lovera, Franciacorta Chardonnay och Pinot,Cantina Lovera Franciacorta Pinot Noir,288.00,,750.00,384.00,2016/08/02,0,Mousserande vin,Rosé,,Flaska,,Lombardiet,Italien,Cantina Lovera,Castore Sweden AB,,,12.50%,BS,Övrigt sortiment,0,0,,0,
7565001,1120440,75650,Kövágó,Furmint,299.00,,750.00,398.67,2016/08/03,0,Vitt vin,,,Flaska,,Tokaj-Hegyalja,Ungern,Grand Tokaj,VinBistro Stockholm AB,2015,,14.00%,BS,Övrigt sortiment,0,0,,0,
7135501,1120446,71355,Augé-Dascier,Tradition Brut,346.00,,750.00,461.33,2016/08/02,0,Mousserande vin,Vitt Torrt,,Flaska,,Champagne,Frankrike,Augé-Dascier,Kim Wallqvist Vinhandel,,,12.00%,BS,Övrigt sortiment,0,0,,0,
7562601,1120495,75626,Augé-Dascier,Prestige Rosé Brut,381.00,,750.00,508.00,2016/08/02,0,Mousserande vin,Rosé,,Flaska,,Champagne,Frankrike,Augé-Dascier,Kim Wallqvist Vinhandel,,,12.00%,BS,Övrigt sortiment,0,0,,0,
7967001,1120528,79670,Collepiano,Sagrantino di Montefalco,259.00,,750.00,345.33,2016/08/02,0,Rött vin,,,Flaska,,Umbrien,Italien,Arnaldo Caprai,Vinunic AB,2010,,14.50%,BS,Övrigt sortiment,0,0,,0,
7868801,1120539,78688,Gelso d''Oro,Podere 29, Nero di Troia (ekad),249.00,,750.00,332.00,2016/08/02,0,Rött vin,,,Flaska,,Apulien,Italien,Podere 29,Castore Sweden AB,2013,,14.00%,BS,Övrigt sortiment,0,0,,0,
7913901,1120544,79139,Zensa,Nero di Troia Organico,99.00,,750.00,132.00,2016/08/02,0,Rött vin,Fruktigt & Smakrikt,,Flaska,Naturkork,Apulien,Italien,Orion Wines,WineWorld AB,2015,,13.00%,BS,Övrigt sortiment,1,0,,0,
196602,1120549,1966,Dufvenkrooks Julmust,,18.00,0.90,500.00,36.00,2017/11/01,0,Alkoholfritt,Övrigt,,Flaska,,,Sverige,Dufvenkrooks,Great Brands AB,,,0.50%,TSS,Säsongsdrycker,0,0,,0,
7916901,1120552,79169,Gelso Nero,Podere 29, Nero di Troia,140.00,,750.00,186.67,2016/08/02,0,Rött vin,,,Flaska,,Apulien,Italien,Podere 29,Castore Sweden AB,2015,,13.00%,BS,Övrigt sortiment,0,0,,0,
7638401,1120555,76384,Betella,Franciacorta,279.00,,750.00,372.00,2016/08/02,0,Mousserande vin,Vitt Torrt,,Flaska,,Lombardiet,Italien,Cantina Lovera,Castore Sweden AB,2008,,12.50%,BS,Övrigt sortiment,0,0,,0,
7903001,1120558,79030,eXcentric Incanto,Chardonnay Sauvignon Blanc,150.00,,750.00,200.00,2016/08/03,0,Vitt vin,,,Flaska,,Trakien,Bulgarien,Balgarsko Vino,Göteborgs Vinhandelshus AB,2015,,14.50%,BS,Övrigt sortiment,0,0,,0,
7913201,1120561,79132,Koroné,Poderi Marini,133.00,,750.00,177.33,2016/08/03,0,Rött vin,,,Flaska,,Kalabrien,Italien,Poderi Marini,Castore Sweden AB,2010,,14.50%,BS,Övrigt sortiment,0,0,,0,
4400101,1120564,44001,Nikka,Coffey Malt,649.00,,700.00,927.14,2016/12/02,0,Whisky,Malt,,Flaska,,,Japan,The Nikka Whisky Distilling Co,Symposion International AB,,,45.00%,TSE,Små partier,0,0,,0,Kornmalt.
7735801,1120821,77358,Betella Blanc De Blanc Brut,Cantina Lovera, Franciacorta Chardonnay,230.00,,750.00,306.67,2016/08/03,0,Mousserande vin,Vitt Torrt,,Flaska,,Lombardiet,Italien,Cantina Lovera,Castore Sweden AB,2015,,12.50%,BS,Övrigt sortiment,0,0,,0,
7494001,1120924,74940,Sondraia,,359.00,,750.00,478.67,2016/08/03,0,Rött vin,,,Flaska,,Toscana,Italien,Poggio al Tesoro,Mondo Wine Sweden AB,2013,,14.00%,BS,Övrigt sortiment,0,0,,0,
7220401,1121022,72204,Orbelus,Prima,190.00,,750.00,253.33,2016/08/03,0,Rött vin,,,Flaska,,Strumadalen,Bulgarien,Orbelus Organic Winery,Göteborgs Vinhandelshus AB,2011,,14.00%,BS,Övrigt sortiment,1,0,,0,
9003501,1121088,90035,Wolfberger Rangen Riesling,Grand Cru,299.00,,750.00,398.67,2017/01/20,0,Vitt vin,,,Flaska,Naturkork,Alsace,Frankrike,Wolfberger,AB Wicked Wine Sweden,2012,,13.50%,TSE,Små partier,0,0,,0,Riesling.
7932701,1121098,79327,Moncaro Sangiovese,Organic,100.00,,750.00,133.33,2016/08/03,0,Rött vin,Fruktigt & Smakrikt,,Flaska,Naturkork,Marche,Italien,Moncaro,Winemarket Nordic AB,2015,,13.00%,BS,Övrigt sortiment,1,0,,0,
7978901,1121101,79789,Merul Mavrud,Reserve,162.00,,750.00,216.00,2016/08/03,0,Rött vin,,,Flaska,,Trakien,Bulgarien,Kovex 2,Göteborgs Vinhandelshus AB,2012,,14.50%,BS,Övrigt sortiment,0,0,,0,
8930401,1121104,89304,Chalong Bay,,578.00,,700.00,825.71,2016/08/05,0,Rom,Ljus,,Flaska,,,Thailand,La Maison Du Whisky,Clydesdale AB,,,40.00%,BS,Övrigt sortiment,0,0,,0,
